0, 0, grass, 0, USA, Washington D.C.
0, 1, grass, 0, USA, Null
0, 2, water, 0, USA, Null
0, 3, grass, 0, USA, Null
0, 4, grass, 0, USA, Null
0, 5, grass, 0, USA, Null
0, 6, desert, 0, USA, Null
0, 7, forest, 0, USA, Null
0, 8, forest, 0, USA, Null
0, 9, forest, 0, USA, Null
0, 10, grass, 0, USA, Null
0, 11, grass, 0, USA, Null
0, 12, water, 0, USA, Null
0, 13, water, 0, USA, Null
0, 14, grass, 0, USA, Null
0, 15, grass, 0, USA, Null
0, 16, forest, 0, USA, Null
0, 17, grass, 0, USA, Null
0, 18, grass, 0, USA, Null
0, 19, water, 0, USA, Null
0, 20, water, 0, USA, Null
0, 21, water, 0, USA, Null
0, 22, water, 0, USA, Null
0, 23, grass, 0, USA, Null
0, 24, grass, 0, USA, Null
0, 25, grass, 0, USA, Null
0, 26, grass, 0, USA, Null
0, 27, water, 0, USA, Null
0, 28, water, 0, USA, Null
0, 29, water, 0, USA, Null
0, 30, grass, 0, USA, Null
0, 31, grass, 0, USA, Null
0, 32, grass, 0, USA, Null
0, 33, grass, 0, USA, Null
0, 34, water, 0, USA, Null
0, 35, water, 0, USA, Null
0, 36, water, 0, USA, Null
0, 37, grass, 0, USA, Null
0, 38, grass, 0, USA, Null
0, 39, grass, 0, USA, Null
0, 40, grass, 0, USA, Null
0, 41, grass, 0, USA, Null
0, 42, grass, 0, USA, Null
0, 43, grass, 0, USA, Null
0, 44, grass, 0, USA, Null
0, 45, grass, 0, USA, Null
0, 46, grass, 0, USA, Null
0, 47, grass, 0, USA, Null
0, 48, grass, 0, USA, Null
0, 49, forest, 0, USA, Null
0, 50, grass, 0, USA, Null
0, 51, grass, 0, USA, Null
0, 52, forest, 0, USA, Null
0, 53, forest, 0, USA, Null
0, 54, forest, 0, USA, Null
0, 55, desert, 0, USA, Null
0, 56, desert, 0, USA, Null
0, 57, desert, 0, USA, Null
0, 58, forest, 0, USA, Null
0, 59, forest, 0, USA, Null
0, 60, forest, 0, USA, Null
0, 61, grass, 0, USA, Null
0, 62, grass, 0, USA, Null
0, 63, grass, 0, USA, Null
1, 0, forest, -1, Null, Null
1, 1, grass, -1, Null, Null
1, 2, grass, -1, Null, Null
1, 3, water, -1, Null, Null
1, 4, water, -1, Null, Null
1, 5, grass, -1, Null, Null
1, 6, grass, -1, Null, Null
1, 7, grass, -1, Null, Null
1, 8, grass, -1, Null, Null
1, 9, grass, -1, Null, Null
1, 10, grass, -1, Null, Null
1, 11, grass, -1, Null, Null
1, 12, water, -1, Null, Null
1, 13, grass, -1, Null, Null
1, 14, grass, -1, Null, Null
1, 15, desert, -1, Null, Null
1, 16, grass, -1, Null, Null
1, 17, grass, -1, Null, Null
1, 18, grass, -1, Null, Null
1, 19, grass, -1, Null, Null
1, 20, grass, -1, Null, Null
1, 21, grass, -1, Null, Null
1, 22, forest, -1, Null, Null
1, 23, desert, -1, Null, Null
1, 24, grass, -1, Null, Null
1, 25, grass, -1, Null, Null
1, 26, grass, -1, Null, Null
1, 27, grass, -1, Null, Null
1, 28, grass, -1, Null, Null
1, 29, grass, -1, Null, Null
1, 30, forest, -1, Null, Null
1, 31, desert, -1, Null, Null
1, 32, grass, -1, Null, Null
1, 33, grass, -1, Null, Null
1, 34, grass, -1, Null, Null
1, 35, forest, -1, Null, Null
1, 36, grass, -1, Null, Null
1, 37, water, -1, Null, Null
1, 38, grass, -1, Null, Null
1, 39, forest, -1, Null, Null
1, 40, grass, -1, Null, Null
1, 41, grass, -1, Null, Null
1, 42, grass, -1, Null, Null
1, 43, grass, -1, Null, Null
1, 44, grass, -1, Null, Null
1, 45, grass, -1, Null, Null
1, 46, grass, -1, Null, Null
1, 47, grass, -1, Null, Null
1, 48, forest, -1, Null, Null
1, 49, forest, -1, Null, Null
1, 50, forest, -1, Null, Null
1, 51, grass, -1, Null, Null
1, 52, grass, -1, Null, Null
1, 53, grass, -1, Null, Null
1, 54, forest, -1, Null, Null
1, 55, grass, -1, Null, Null
1, 56, desert, -1, Null, Null
1, 57, forest, -1, Null, Null
